序号,单号,标题,模板,formInstId
1,HYJYXSSPFB-20241021-003,张建的会议纪要线上审批发布,会议纪要线上审批发布,6716233e5ac6380001f274af
2,HYJYXSSPFB-20241021-001,周工作例会会议纪要(2024年10月21日）64号,会议纪要线上审批发布,6715ca57b8f3330001e8aa94
3,HYJYXSSPFB-20241015-002,2024年9月30日第二十八次总经理办公会会议纪要2024年59号,会议纪要线上审批发布,670e33fe66f99c0001037f9e
4,HYJYXSSPFB-20241015-001,周工作例会会议纪要(2024年10月14日）61号,会议纪要线上审批发布,670dc414b863940001fcefe6
5,HYJYXSSPFB-20241010-001,周工作例会会议纪要(2024年10月8日）60号,会议纪要线上审批发布,67077a17b863940001f6e082
6,HYJYXSSPFB-20240930-002,天传所集团物资专项清理行动第三阶段工作专题会会议纪要,会议纪要线上审批发布,66fa485c8109620001b82986
7,HYJYXSSPFB-20240930-001,周工作例会会议纪要(2024年9月29日）57号,会议纪要线上审批发布,66f9f86ce3c6af000123bc93
8,HYJYXSSPFB-20240926-001,周工作例会会议纪要(2024年9月23日）56号,会议纪要线上审批发布,66f4d9acfd92c800013402e8
9,HYJYXSSPFB-20240923-001,2024年8月30日第二十六次总经理办公会会议纪要2024年48号,会议纪要线上审批发布,66f0e0b384515c0001aa5e79
10,HYJYXSSPFB-20240920-002,2024年9月14日第二十七次总经理办公会会议纪要2024年54号,会议纪要线上审批发布,66ecf09184515c0001a780c7
11,HYJYXSSPFB-20240920-001,周工作例会会议纪要(2024年9月18日）55号,会议纪要线上审批发布,66ecec22fd92c800012c203d
12,HYJYXSSPFB-20240914-001,信息系统建设项目生产制造业务专题会议纪要,会议纪要线上审批发布,66e5538bb595b1000125f456
13,HYJYXSSPFB-20240913-001,电源磁铁安全质量事故专题会议纪要,会议纪要线上审批发布,66e3eea44537ea0001c90d20
14,HYJYXSSPFB-20240910-001,周工作例会会议纪要(2024年9月9日）51号,会议纪要线上审批发布,66e002429d50bd00018b8d07
15,HYJYXSSPFB-20240906-003,公司生产系统流程优化及工艺布局升级改造专题会,会议纪要线上审批发布,66da6fefd97a5500014c043b
16,HYJYXSSPFB-20240904-001,周工作例会会议纪要(2024年9月2日）49号,会议纪要线上审批发布,66d7d9ee3f26ef0001e34481
17,HYJYXSSPFB-20240819-001,周工作例会会议纪要(2024年8月19日）46号,会议纪要线上审批发布,66c30af5b1c26e0001fce0bf
18,HYJYXSSPFB-20240815-002,2024年8月13日第二十五次总经理办公会会议纪要2024年45号,会议纪要线上审批发布,66bdbfa163cd9d0001c292e8
19,HYJYXSSPFB-20240814-001,周工作例会会议纪要(2024年8月12日）44号,会议纪要线上审批发布,66bc009cf6077a00011c5079
20,HYJYXSSPFB-20240730-002,2024年7月29日第二十四次总经理办公会会议纪要2024年42号,会议纪要线上审批发布,66a857242fcdb60001970d3b
21,HYJYXSSPFB-20240730-001,周工作例会会议纪要(2024年7月29日）41号,会议纪要线上审批发布,66a856c92e220300016b11c3
22,HYJYXSSPFB-20240723-002,2024年7月15日第二十三次总经理办公会会议纪要2024年39号,会议纪要线上审批发布,669f853d291c51000188dae8
23,HYJYXSSPFB-20240723-001,周工作例会会议纪要(2024年7月22日）40号,会议纪要线上审批发布,669f806033dffe0001824f19
24,HYJYXSSPFB-20240716-001,周工作例会会议纪要(2024年7月15日）38号,会议纪要线上审批发布,6695ef4d626c190001df22c7
25,HYJYXSSPFB-20240712-001,2024年7月1日第二十一次总经理办公会会议纪要2024年34号,会议纪要线上审批发布,6690da40b439330001649808
26,HYJYXSSPFB-20240709-002,2024年7月8日第二十二次总经理办公会会议纪要2024年37号,会议纪要线上审批发布,668cb32a6047180001677b7c
27,HYJYXSSPFB-20240709-001,周工作例会会议纪要(2024年7月8日）36号,会议纪要线上审批发布,668cb292f2387b00018a1382
28,HYJYXSSPFB-20240703-002,周工作例会会议纪要(2024年7月1日）33号,会议纪要线上审批发布,6684f5f6c939c700015078ab
29,HYJYXSSPFB-20240627-004,2024年6月20日第十九次总经理办公会会议纪要2024年31号,会议纪要线上审批发布,667d04ab10d355000144915b
30,HYJYXSSPFB-20240627-003,2024年6月26日第二十次总经理办公会会议纪要2024年32号,会议纪要线上审批发布,667cf9a78636c8000193da75
31,HYJYXSSPFB-20240620-001,2024年6月18日总经理专题会会议纪要2024年30号,会议纪要线上审批发布,66737615e1d15500014f0729
32,HYJYXSSPFB-20240618-006,周工作例会会议纪要(2024年6月11日）26号,会议纪要线上审批发布,667125af7c3a920001a15217
33,HYJYXSSPFB-20240618-005,周工作例会会议纪要(2024年6月17日）29号,会议纪要线上审批发布,6671254d5827d10001da3299
34,HYJYXSSPFB-20240614-001,2024年6月12日第十七次总经理办公会会议纪要2024年27号,会议纪要线上审批发布,666bff6914d9cb000150a616
35,HYJYXSSPFB-20240612-002,2024年6月7日第十六次总经理办公会会议纪要2024年25号,会议纪要线上审批发布,66696d8c8aed37000170d362
36,HYJYXSSPFB-20240606-003,2024年第十五次总经理办公会会议纪要,会议纪要线上审批发布,6661595a433347000137468d
37,HYJYXSSPFB-20240605-001,2024年第十四次总经理办公会会议纪要,会议纪要线上审批发布,665fcee9e0d948000129e889
38,HYJYXSSPFB-20240516-013,2024年第十三次总经理办公会会议纪要,会议纪要线上审批发布,6645681d68e03d0001b94ee9
39,HYJYXSSPFB-20240516-012,2024年第十二次总经理办公会会议纪要,会议纪要线上审批发布,66456782abd139000107266b
40,HYJYXSSPFB-20240516-011,2024年第十一次总经理办公会会议纪要,会议纪要线上审批发布,664566d1096c750001b34d4e
41,HYJYXSSPFB-20240516-010,2024年第十次总经理办公会会议纪要,会议纪要线上审批发布,664566582dd0780001019680
42,HYJYXSSPFB-20240516-009,2024年第九次总经理办公会会议纪要,会议纪要线上审批发布,664565b368e03d0001b94a37
43,HYJYXSSPFB-20240516-008,2024年第八次总经理办公会会议纪要,会议纪要线上审批发布,6645652dabd139000107217b
44,HYJYXSSPFB-20240516-007,2024年第七次总经理办公会会议纪要,会议纪要线上审批发布,664564a468e03d0001b9482f
45,HYJYXSSPFB-20240516-006,2024年第六次总经理办公会会议纪要,会议纪要线上审批发布,6645642dabd1390001071f4d
46,HYJYXSSPFB-20240516-005,2024年第五次总经理办公会会议纪要,会议纪要线上审批发布,664563697cf3bd0001ab837e
47,HYJYXSSPFB-20240516-004,2024年第四次总经理办公会会议纪要,会议纪要线上审批发布,6645631d096c750001b3457c
48,HYJYXSSPFB-20240516-003,2024年第三次总经理办公会会议纪要,会议纪要线上审批发布,6645626284efd200010000e1
49,HYJYXSSPFB-20240516-002,2024年第二次总经理办公会会议纪要,会议纪要线上审批发布,664560d32dd0780001018b37
50,HYJYXSSPFB-20240516-001,2024年第一次总经理办公会会议纪要,会议纪要线上审批发布,66456012096c750001b33f65
51,HYJYXSSPFB-20240514-001,第十三次总经理办公会会议,会议纪要线上审批发布,6642c2a52dd0780001ff65fc
52,HYJYXSSPFB-20240408-003,2024年第三次总经理办公会会议纪要,会议纪要线上审批发布,6613bdf311c0cd00017c5266
53,HYJYXSSPFB-20240408-002,2024年第二次总经理办公会会议纪要,会议纪要线上审批发布,6613bd4346854d00017fb791
54,HYJYXSSPFB-20240408-001,2024年第一次总经会会议纪要,会议纪要线上审批发布,6613bb9a46854d00017fb568
